confidence_col,n,brier,ece_10bins,mean_conf,accuracy
prob_tokens_only.prob_joint,3395,0.11385185667657237,0.08733305465151803,0.9730499286356147,0.8636229749631812
confidence_verbalized,3395,0.11745920471281296,0.07921060382916058,0.9596229749631812,0.8636229749631812
judge_confidence,3391,0.1246056030669419,0.07828959009141842,0.9081391919787674,0.8643468003538779
prob_all_tokens.prob_geo_mean,3395,0.1277750348819851,0.1145008627549046,0.9781238377180858,0.8636229749631812
prob_all_tokens.prob_joint,3395,0.21555177133563996,0.24221070022830288,0.643894406075759,0.8636229749631812
