confidence_col,n,coef_std,intercept,train_auc,train_brier
prob_tokens_only.logprob_avg,3395,1.0956385899103378,1.8856514781634381,0.8572138376269599,0.10342806495006256
prob_tokens_only.perplexity,3395,-1.8265371142909796,1.833508380480097,0.8572138376269599,0.10429323276886222
prob_tokens_only.logprob_sum,3395,1.0753502495065028,1.8831406538080944,0.8566709342652314,0.10570056035238215
prob_tokens_only.p_min,3395,0.7002669158610322,1.9345482532215097,0.8491277450873508,0.1035390068804614
prob_tokens_only.prob_geo_mean,3395,0.8802301999023603,1.9140078860524947,0.8439727413894201,0.10268292255187234
prob_tokens_only.prob_joint,3395,0.7241624458003012,1.9379298980239568,0.8435285477298242,0.10281584978036966
confidence_verbalized,3395,0.7041535874715233,1.9702445056954856,0.7193451126911211,0.1068336148430904
judge_confidence,3391,0.3137427648066516,1.8894866191107347,0.6793211250055627,0.11501998440341467
prob_all_tokens.prob_geo_mean,3395,0.47211357890758415,1.9240660398730958,0.6313325220476222,0.11219683471848918
prob_all_tokens.logprob_avg,3395,0.47648285717794,1.9227280209535795,0.6313325220476222,0.1121307955669538
prob_all_tokens.perplexity,3395,-0.4839473977007914,1.9211118270557612,0.6313325220476222,0.11207163714778008
prob_all_tokens.prob_joint,3395,0.44682904992838357,1.9197909830691744,0.6280242737470498,0.11442358320657678
prob_all_tokens.logprob_sum,3395,0.47396869086489307,1.917887007061045,0.6280242737470498,0.11247974819233154
prob_all_tokens.p_min,3395,0.32397235710313527,1.8842940386415594,0.5993774659009544,0.11616364059755842
