confidence_col,n_non_null,mean,min,max,probability_like_0_1
confidence_verbalized,3395,0.9596229749631812,0.1,1.0,True
judge_confidence,3391,0.9081391919787674,0.01,1.0,True
prob_tokens_only.prob_joint,3395,0.9730499286356147,1.3289767479662053e-06,1.0,True
prob_tokens_only.prob_geo_mean,3395,0.9862562609842104,0.10110204759455726,1.0,True
prob_tokens_only.logprob_sum,3395,-0.05421883580400011,-13.5311012742732,1.3275072000000001e-05,False
prob_tokens_only.logprob_avg,3395,-0.018517147777757353,-2.2916249,3.8555881e-06,False
prob_tokens_only.perplexity,3395,1.029233489067681,0.9999961444193328,9.890996510874167,False
prob_tokens_only.p_min,3395,0.974414982818287,0.04196649571999253,1.0000037642382846,False
prob_all_tokens.prob_joint,3395,0.6438944060757592,9.041181760971194e-08,0.9988033004340262,True
prob_all_tokens.prob_geo_mean,3395,0.9781238377180858,0.6291428877821112,0.9999539465919264,True
prob_all_tokens.logprob_sum,3395,-0.6326080350109488,-16.218890852321,-0.001197416182673,False
prob_all_tokens.logprob_avg,3395,-0.022515546788256232,-0.4633968814948857,-4.6054468564346154e-05,False
prob_all_tokens.perplexity,3395,1.0232022667796214,1.0000460555290878,1.5894640461171776,False
prob_all_tokens.p_min,3395,0.6648972366830999,0.03846243224198027,0.9990414340181744,True
